"TS","BOND","ANGLE","DIHED","IMPRP","ELECT","VDW","BOUNDARY","MISC","KINETIC","TOTAL","TEMP","POTENTIAL","TOTAL3","TEMPAVG","PRESSURE","GPRESSURE","VOLUME","PRESSAVG","GPRESSAVG"
20125,12220.6646,66863.7356,46374.4345,835.1895,-1171598.2763,72563.7803,728.2916,13.2892,263659.9789,-708338.912,302.8101,-971998.8909,-707993.388,303.2175,-903.1635,-906.2123,4415449.5856,-846.4087,-846.2755
20250,12295.2875,66899.7973,46253.7068,837.7334,-1171405.754,72339.9831,719.3974,13.4973,263868.8605,-708177.4906,303.05,-972046.3511,-707844.6085,303.1016,-773.0336,-774.8879,4415449.5856,-913.4529,-913.4409
20375,12327.9935,66697.7369,46451.3409,854.6659,-1172690.0459,72976.0799,730.7727,13.6242,264292.9771,-708344.8549,303.5371,-972637.8319,-707995.907,302.8898,-935.6542,-934.1398,4415449.5856,-801.2347,-801.1557
20500,12260.9282,66828.0634,46379.6982,873.0681,-1172458.9932,72826.5818,703.3118,13.7209,263629.7503,-708943.8704,302.7754,-972573.6207,-708826.7779,303.3186,-835.2294,-836.9727,4415449.5856,-890.2105,-890.3262
20625,12182.0744,66901.2707,46459.3355,821.3439,-1171732.9832,72275.5158,729.6789,13.7768,263511.8232,-708838.1641,302.64,-972349.9872,-708496.1149,302.7328,-917.8565,-916.1978,4415449.5856,-874.2138,-874.3288
20750,12316.6311,67122.1172,46278.1415,848.6908,-1172935.8804,72970.5641,759.5608,13.9046,263883.5576,-708742.7128,303.0669,-972626.2704,-708405.8561,302.8578,-811.2897,-810.0977,4415449.5856,-862.7562,-862.5858
20875,12290.8102,67253.5989,46256.2104,851.7548,-1172192.4087,72672.1115,742.4033,14.066,263862.2217,-708249.2319,303.0424,-972111.4536,-707908.6153,303.3213,-857.4606,-858.506,4415449.5856,-869.3025,-869.3701
21000,12261.0039,67015.1861,46474.5983,871.6886,-1172049.5543,72555.1707,706.4362,14.1975,263964.3326,-708186.9405,303.1597,-972151.2731,-707946.7818,303.5028,-837.4309,-836.2948,4415449.5856,-848.9412,-848.9224
21125,12314.3746,66795.2457,46436.3111,859.6048,-1172606.0632,72712.9724,749.0894,14.2352,264692.5247,-708031.7054,303.996,-972724.2301,-707694.8288,303.571,-902.7889,-903.6104,4415449.5856,-909.8999,-909.867
21250,12299.0642,66853.6855,46343.8369,901.0572,-1171849.8442,72587.4243,731.4351,14.245,263849.7084,-708269.3875,303.028,-972119.0959,-707930.5567,303.5257,-848.0678,-849.2132,4415449.5856,-779.829,-780.0364
21375,12198.5856,67069.4234,46285.0377,867.4809,-1173165.3957,73294.5987,691.921,14.2039,264528.7558,-708215.3887,303.8079,-972744.1445,-707881.1895,303.5794,-770.8991,-769.1196,4415449.5856,-904.0903,-904.0738
21500,12364.5607,66841.6438,46330.2345,862.0234,-1172699.0212,72725.5493,769.7379,14.0866,263733.219,-709057.9661,302.8942,-972791.1851,-709089.3392,303.4411,-817.724,-820.5092,4415449.5856,-753.8044,-753.8628
21625,12321.5495,66590.5011,46303.1941,859.1638,-1173050.162,73169.7943,708.7791,14.2227,264231.7903,-708851.1671,303.4668,-973082.9574,-708515.6329,302.9745,-850.0684,-847.7775,4415449.5856,-812.7266,-812.8457
21750,12245.8289,66915.9489,46371.2762,906.7095,-1172824.6662,72549.341,696.103,14.449,264014.9076,-709110.1018,303.2178,-973125.0094,-708765.9283,303.4069,-825.9286,-826.9314,4415449.5856,-894.311,-894.1371
