TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG,PRESSURE,GPRESSURE,VOLUME,PRESSAVG,GPRESSAVG
0,160181.8736,312099.8372,51723.6648,7387.7653,-1093511.5060,30253088.4988,0.0116,0.0656,0.0000,29690970.2109,0.0000,29690970.2109,29690970.2109,0.0000,1917505.7712,6418069.9265,4415449.5856,1917505.7712,6418069.9265
1,160508.5384,312357.9849,51725.3510,7171.4730,-1093518.7316,1729476.4730,0.0116,0.0656,0.0000,1167721.1660,0.0000,1167721.1660,1167721.1660,0.0000,121504.0077,220857.6572,4415449.5856,121504.0077,220857.6572
2,160844.1992,312570.7469,51729.8557,6981.8040,-1093521.6360,763177.5748,0.0116,0.0656,0.0000,201782.6218,0.0000,201782.6218,201782.6218,0.0000,60632.6109,54883.6117,4415449.5856,60632.6109,54883.6117
3,160952.5840,312685.8886,51731.3707,6986.3683,-1093523.6316,633912.2737,0.0116,0.0656,0.0000,72744.9309,0.0000,72744.9309,72744.9309,0.0000,52481.3592,37206.0113,4415449.5856,52481.3592,37206.0113
4,161061.7398,312744.5499,51731.5200,6990.2280,-1093525.8257,608155.8711,0.0116,0.0656,0.0000,47158.1602,0.0000,47158.1602,47158.1602,0.0000,50854.1437,34314.6941,4415449.5856,50854.1437,34314.6941
5,161076.1741,312813.0833,51731.2790,6990.0598,-1093526.0774,601681.6487,0.0116,0.0656,0.0000,40766.2446,0.0000,40766.2446,40766.2446,0.0000,50444.3554,33609.7774,4415449.5856,50444.3554,33609.7774
6,161092.1657,312831.8514,51731.3604,6990.0598,-1093526.5761,600216.7906,0.0116,0.0656,0.0000,39335.7290,0.0000,39335.7290,39335.7290,0.0000,50351.1128,33487.3374,4415449.5856,50351.1128,33487.3374
7,161092.9796,312829.9585,51731.1510,6990.0598,-1093526.8400,599816.5775,0.0116,0.0656,0.0000,38933.9636,0.0000,38933.9636,38933.9636,0.0000,50325.7449,33467.2972,4415449.5856,50325.7449,33467.2972
8,161090.4277,312828.0583,51730.8552,6990.0598,-1093526.7604,599711.8734,0.0116,0.0656,0.0000,38824.5912,0.0000,38824.5912,38824.5912,0.0000,50319.1656,33454.1396,4415449.5856,50319.1656,33454.1396
9,161086.7699,312824.9877,51730.6938,6990.0598,-1093526.7128,599665.2286,0.0116,0.0656,0.0000,38771.1042,0.0000,38771.1042,38771.1042,0.0000,50316.2976,33449.5268,4415449.5856,50316.2976,33449.5268
10,160220.8822,314068.2049,51396.8326,5801.1298,-1093965.2491,563314.8550,0.0159,0.0654,0.0000,836.7367,0.0000,836.7367,836.7367,0.0000,48030.8999,41446.1427,4415449.5856,48030.8999,41446.1427
11,159565.2156,315513.0033,51434.1785,4803.0669,-1094400.5982,538538.9511,0.0337,0.0653,0.0000,-24546.0838,0.0000,-24546.0838,-24546.0838,0.0000,46473.5724,39173.2286,4415449.5856,46473.5724,39173.2286
12,159119.0329,317160.7057,51781.1059,4013.9413,-1094832.8720,520338.7457,0.0650,0.0651,0.0000,-42419.2103,0.0000,-42419.2103,-42419.2103,0.0000,45328.3738,37502.1177,4415449.5856,45328.3738,37502.1177
13,156880.6586,316809.4238,51391.1288,3772.0430,-1095094.2279,512310.4844,0.0870,0.0650,0.0000,-53930.3373,0.0000,-53930.3373,-53930.3373,0.0000,44857.6684,36850.0999,4415449.5856,44857.6684,36850.0999
