"TS","variable","value"
0,"BOND",12431.7306
5000,"BOND",12568.1086
10000,"BOND",12524.7637
15000,"BOND",12466.0381
20000,"BOND",12343.9679
25000,"BOND",12498.8689
30000,"BOND",12589.794
35000,"BOND",12390.4272
40000,"BOND",12445.0134
45000,"BOND",12466.7813
50000,"BOND",12241.2509
55000,"BOND",12265.3655
60000,"BOND",12372.387
65000,"BOND",12469.7148
70000,"BOND",12532.2493
75000,"BOND",12384.6051
80000,"BOND",12593.5522
85000,"BOND",12373.8412
90000,"BOND",12653.5213
95000,"BOND",12423.2809
100000,"BOND",12450.8159
105000,"BOND",12431.5714
110000,"BOND",12524.5147
115000,"BOND",12443.4175
120000,"BOND",12523.1946
125000,"BOND",12316.1927
130000,"BOND",12415.8569
135000,"BOND",12502.0136
140000,"BOND",12533.1443
145000,"BOND",12442.6343
150000,"BOND",12574.6433
155000,"BOND",12564.5532
160000,"BOND",12605.4772
165000,"BOND",12384.8152
170000,"BOND",12465.2877
175000,"BOND",12597.6174
180000,"BOND",12375.2482
185000,"BOND",12480.8256
190000,"BOND",12483.756
195000,"BOND",12518.8652
200000,"BOND",12522.6557
205000,"BOND",12576.4523
210000,"BOND",12445.8668
215000,"BOND",12435.2651
220000,"BOND",12416.9507
225000,"BOND",12384.1647
230000,"BOND",12579.1411
235000,"BOND",12520.7524
240000,"BOND",12356.8741
245000,"BOND",12483.9929
250000,"BOND",12330.5623
255000,"BOND",12483.1704
260000,"BOND",12565.8779
265000,"BOND",12474.9722
270000,"BOND",12465.8078
275000,"BOND",12427.2968
280000,"BOND",12433.2102
285000,"BOND",12412.4716
290000,"BOND",12431.1091
295000,"BOND",12632.4239
300000,"BOND",12539.9459
305000,"BOND",12530.0954
310000,"BOND",12381.5084
315000,"BOND",12614.69
320000,"BOND",12412.6887
325000,"BOND",12391.2156
330000,"BOND",12488.8275
335000,"BOND",12477.2383
340000,"BOND",12499.6871
345000,"BOND",12409.2442
350000,"BOND",12406.8336
355000,"BOND",12323.1107
360000,"BOND",12432.4575
365000,"BOND",12412.3065
370000,"BOND",12528.4902
375000,"BOND",12300.1518
380000,"BOND",12400.3767
385000,"BOND",12417.6832
390000,"BOND",12321.9299
395000,"BOND",12402.8868
400000,"BOND",12266.5699
405000,"BOND",12415.2436
410000,"BOND",12527.1675
415000,"BOND",12390.5017
420000,"BOND",12552.1197
425000,"BOND",12637.8531
430000,"BOND",12343.2059
435000,"BOND",12500.1325
440000,"BOND",12530.2504
445000,"BOND",12590.2775
450000,"BOND",12535.4077
455000,"BOND",12437.1881
460000,"BOND",12448.4667
465000,"BOND",12420.893
470000,"BOND",12536.1645
475000,"BOND",12520.2177
480000,"BOND",12327.7529
485000,"BOND",12347.0377
490000,"BOND",12410.2418
495000,"BOND",12375.2021
500000,"BOND",12486.6029
0,"BOND",12486.6029
5000,"BOND",12361.8142
10000,"BOND",12472.0661
15000,"BOND",12393.6752
20000,"BOND",12534.5557
25000,"BOND",12470.7116
30000,"BOND",12379.7962
35000,"BOND",12627.0146
40000,"BOND",12272.3283
45000,"BOND",12520.842
50000,"BOND",12392.9316
55000,"BOND",12437.8556
60000,"BOND",12476.539
65000,"BOND",12478.983
70000,"BOND",12404.2382
75000,"BOND",12553.6553
80000,"BOND",12548.6277
85000,"BOND",12457.3978
90000,"BOND",12416.3895
95000,"BOND",12375.0597
100000,"BOND",12313.6141
105000,"BOND",12573.752
110000,"BOND",12399.3113
115000,"BOND",12401.871
120000,"BOND",12451.3127
125000,"BOND",12459.8494
130000,"BOND",12435.0087
135000,"BOND",12532.9887
140000,"BOND",12304.1535
145000,"BOND",12414.7873
150000,"BOND",12330.3714
155000,"BOND",12452.9068
160000,"BOND",12428.584
165000,"BOND",12376.857
170000,"BOND",12311.3246
175000,"BOND",12494.6899
180000,"BOND",12525.3898
185000,"BOND",12544.704
190000,"BOND",12476.7097
195000,"BOND",12438.1342
200000,"BOND",12353.3653
205000,"BOND",12434.57
210000,"BOND",12566.3815
215000,"BOND",12590.7804
220000,"BOND",12446.8792
225000,"BOND",12342.4314
230000,"BOND",12450.238
235000,"BOND",12587.4068
240000,"BOND",12403.0258
245000,"BOND",12353.7
250000,"BOND",12659.0519
255000,"BOND",12453.9796
260000,"BOND",12483.8365
265000,"BOND",12401.3443
270000,"BOND",12359.5078
275000,"BOND",12406.4213
280000,"BOND",12412.6873
285000,"BOND",12577.2831
290000,"BOND",12603.5637
295000,"BOND",12623.0196
300000,"BOND",12479.736
305000,"BOND",12479.2933
310000,"BOND",12267.8661
315000,"BOND",12470.2591
320000,"BOND",12549.3862
325000,"BOND",12392.1034
330000,"BOND",12378.5387
335000,"BOND",12470.3027
340000,"BOND",12513.3754
345000,"BOND",12388.4827
350000,"BOND",12458.8836
355000,"BOND",12200.7702
360000,"BOND",12363.8225
365000,"BOND",12487.658
370000,"BOND",12433.1085
375000,"BOND",12426.9659
380000,"BOND",12428.2713
385000,"BOND",12371.9584
390000,"BOND",12408.3784
395000,"BOND",12611.1858
400000,"BOND",12517.9293
405000,"BOND",12414.7645
410000,"BOND",12381.8805
415000,"BOND",12617.1396
420000,"BOND",12516.9289
425000,"BOND",12584.9513
430000,"BOND",12575.1139
435000,"BOND",12374.6183
440000,"BOND",12459.535
445000,"BOND",12530.8513
450000,"BOND",12491.2159
455000,"BOND",12598.0206
460000,"BOND",12466.6987
465000,"BOND",12360.914
470000,"BOND",12464.2623
475000,"BOND",12452.7533
480000,"BOND",12420.7557
485000,"BOND",12574.824
490000,"BOND",12471.5796
495000,"BOND",12568.7432
500000,"BOND",12371.1576
0,"BOND",12371.1576
5000,"BOND",12462.824
10000,"BOND",12293.9528
15000,"BOND",12727.711
20000,"BOND",12513.7736
25000,"BOND",12474.7387
30000,"BOND",12311.8165
35000,"BOND",12412.1207
40000,"BOND",12541.7426
45000,"BOND",12666.1288
50000,"BOND",12477.7368
55000,"BOND",12469.4176
60000,"BOND",12444.1712
65000,"BOND",12418.1908
70000,"BOND",12423.168
75000,"BOND",12485.3182
80000,"BOND",12332.3052
85000,"BOND",12444.2721
90000,"BOND",12493.9615
95000,"BOND",12422.0616
100000,"BOND",12600.7188
105000,"BOND",12471.5293
110000,"BOND",12633.851
115000,"BOND",12385.3833
120000,"BOND",12381.6011
125000,"BOND",12549.879
130000,"BOND",12423.5266
135000,"BOND",12424.2372
140000,"BOND",12618.8549
145000,"BOND",12585.7105
150000,"BOND",12586.3808
155000,"BOND",12417.9863
160000,"BOND",12494.2497
165000,"BOND",12566.1097
170000,"BOND",12332.1727
175000,"BOND",12398.6472
180000,"BOND",12450.4051
185000,"BOND",12291.9754
190000,"BOND",12365.6192
195000,"BOND",12529.768
200000,"BOND",12531.7857
205000,"BOND",12472.722
210000,"BOND",12447.8931
215000,"BOND",12566.0173
220000,"BOND",12459.7396
225000,"BOND",12535.0484
230000,"BOND",12431.3762
235000,"BOND",12635.4639
240000,"BOND",12448.2787
245000,"BOND",12549.4573
250000,"BOND",12503.5711
255000,"BOND",12527.1559
260000,"BOND",12479.3486
265000,"BOND",12556.2298
270000,"BOND",12627.6544
275000,"BOND",12531.3951
280000,"BOND",12388.7701
285000,"BOND",12456.4055
290000,"BOND",12405.0796
295000,"BOND",12473.8976
300000,"BOND",12451.3039
305000,"BOND",12388.2471
310000,"BOND",12566.425
315000,"BOND",12411.3347
320000,"BOND",12387.9348
325000,"BOND",12532.0822
330000,"BOND",12438.683
335000,"BOND",12409.6487
340000,"BOND",12479.0843
345000,"BOND",12496.1937
350000,"BOND",12457.9946
355000,"BOND",12494.8769
360000,"BOND",12657.5102
365000,"BOND",12615.4316
370000,"BOND",12407.2012
375000,"BOND",12383.8078
380000,"BOND",12507.5938
385000,"BOND",12550.8076
390000,"BOND",12583.6608
395000,"BOND",12292.8661
400000,"BOND",12503.7344
405000,"BOND",12524.6935
410000,"BOND",12517.6369
