TS,BOND,ANGLE,DIHED,IMPRP,ELECT,VDW,BOUNDARY,MISC,KINETIC,TOTAL,TEMP,POTENTIAL,TOTAL3,TEMPAVG,PRESSURE,GPRESSURE,VOLUME,PRESSAVG,GPRESSAVG
0,12431.7306,68571.8599,45185.9188,636.3425,-1195074.0203,67737.4242,0.0000,0.0000,263615.9372,-736894.8071,302.7595,-1000510.7443,-735511.7584,302.7595,-62.7935,-62.8621,4058241.6139,-62.7935,-62.8621
5000,12568.1086,67538.1687,45180.9201,638.5214,-1197421.9551,69347.6200,0.0000,0.0000,263467.6752,-738680.9410,302.5893,-1002148.6163,-737319.0012,302.6126,-78.1639,-77.8552,4061504.4828,0.1616,0.1417
10000,12524.7637,68188.7971,45199.7453,623.3923,-1197387.6483,69563.8458,0.0000,0.0000,262324.1808,-738962.9234,301.2760,-1001287.1042,-737623.6791,301.8578,65.0411,61.7207,4058627.2856,1.4734,1.4640
15000,12466.0381,68209.8397,45038.5560,587.3890,-1195608.1067,68426.4659,0.0000,0.0000,263343.2446,-737536.5734,302.4464,-1000879.8180,-736152.6274,302.0800,-25.9476,-27.4774,4059611.2552,0.1389,0.1347
20000,12343.9679,68021.0596,45154.8859,605.9950,-1196869.2740,69170.6016,0.0000,0.0000,263100.1151,-738472.6488,302.1671,-1001572.7639,-737106.9415,302.1981,24.0520,26.8509,4061782.3011,1.4286,1.4073
25000,12498.8689,68137.7236,45047.9027,614.1705,-1196716.8327,68632.5081,0.0000,0.0000,263827.9652,-737957.6936,303.0031,-1001785.6588,-736580.4134,302.4364,4.9268,5.9587,4058831.9629,1.0754,1.0774
30000,12589.7940,68293.6739,45033.3849,611.3574,-1197237.0800,69274.2103,0.0000,0.0000,263377.4472,-738057.2123,302.4856,-1001434.6595,-736657.0922,302.3118,-53.7823,-52.5127,4060891.1653,0.8597,0.8556
35000,12390.4272,68299.3680,45073.0351,582.8279,-1197427.0542,69799.9160,0.0000,0.0000,263158.6529,-738122.8271,302.2344,-1001281.4800,-736750.9769,302.3271,136.6088,137.2217,4058240.3119,0.7592,0.7537
40000,12445.0134,68072.4782,45145.5476,606.6652,-1197290.1505,69227.2773,0.0000,0.0000,263238.3926,-738554.7761,302.3259,-1001793.1688,-737177.1396,302.4203,-28.9826,-28.5359,4057864.6705,1.2135,1.2135
45000,12466.7813,68271.5946,45113.5542,589.4579,-1195143.1748,68619.5957,0.0000,0.0000,263604.2681,-736477.9231,302.7461,-1000082.1912,-735129.8502,302.3812,13.3707,13.6392,4060831.1461,0.8162,0.8316
