Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -6.858248 0.0 -36.1015 6.2574 -10.4416 243.255 -1619.2 242.031 -1609.14 0.0 242.031 -1609.14 22.963 -36.1015 -1380.2476 15.8986 15.8986
0 1 -6.8015156 0.0 -36.6641 6.24886 -10.5281 243.255 -1619.2 241.932 -1607.29 0.0 241.932 -1607.29 22.2185 -36.6641 -1379.8036 15.7617 15.7617
0 2 -6.7336955 0.0 -35.7817 6.255 -10.4785 243.255 -1619.2 241.96 -1607.53 0.0 241.96 -1607.53 22.8978 -35.7817 -1378.454 16.3978 16.3978
0 3 -6.486823 0.0 -37.0309 6.22411 -10.9736 243.255 -1619.2 241.489 -1601.38 0.0 241.489 -1601.38 23.8475 -37.0309 -1373.0743 16.6445 16.6445
0 4 -6.484917 0.0 -36.9756 6.22954 -10.9845 243.255 -1619.2 241.491 -1601.44 0.0 241.491 -1601.44 23.8964 -36.9756 -1373.0282 16.6194 16.6194
0 5 -6.4472575 0.0 -36.5185 6.23015 -10.9735 243.255 -1619.2 241.498 -1601.53 0.0 241.498 -1601.53 23.6875 -36.5185 -1372.863 16.5946 16.5946
0 6 -6.5113616 0.0 -37.1457 6.20347 -10.9606 243.255 -1619.2 241.468 -1601.59 0.0 241.468 -1601.59 24.5912 -37.1457 -1372.6764 17.1825 17.1825
0 7 -6.306817 0.0 -33.6555 6.43044 -10.897 243.255 -1619.2 241.702 -1603.59 0.0 241.702 -1603.59 24.3 -33.6555 -1371.2434 18.4974 18.4974
1 0 -6.69536 0.0 -33.7821 6.27383 -10.6512 243.255 -1619.2 242.317 -1610.69 0.0 242.317 -1610.69 22.3699 -33.7821 -1379.7852 17.4807 17.4807
1 1 -6.693424 0.0 -33.8348 6.26847 -10.6441 243.255 -1619.2 242.273 -1610.51 0.0 242.273 -1610.51 22.3261 -33.8348 -1379.7457 17.393 17.393
1 2 -6.6059065 0.0 -32.4977 6.28723 -10.6645 243.255 -1619.2 242.52 -1611.52 0.0 242.52 -1611.52 22.6516 -32.4977 -1378.8461 18.5315 18.5315
1 3 -6.5969634 0.0 -32.0651 6.28228 -10.4763 243.255 -1619.2 242.344 -1611.59 0.0 242.344 -1611.59 22.9475 -32.0651 -1378.3635 18.437 18.437
1 4 -6.272813 0.0 -26.5608 6.37766 -10.9544 243.255 -1619.2 243.08 -1616.27 0.0 243.08 -1616.27 22.9324 -26.5608 -1376.8185 21.4633 21.4633
1 5 -6.2849483 0.0 -26.7176 6.38583 -10.9618 243.255 -1619.2 243.086 -1616.23 0.0 243.086 -1616.23 23.0445 -26.7176 -1376.8171 21.471 21.471
