Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -6.9154377 0.0 -35.1331 6.31079 -10.9207 243.255 -1619.2 241.89 -1611.75 0.0 241.89 -1611.75 23.8364 -35.1331 -1381.1567 16.4653 16.4653
0 1 -6.90336 0.0 -35.1005 6.31166 -10.9175 243.255 -1619.2 241.878 -1611.58 0.0 241.878 -1611.58 23.8005 -35.1005 -1381.002 16.4806 16.4806
0 2 -6.4957232 0.0 -31.2281 6.25975 -10.9666 243.255 -1619.2 241.597 -1610.6 0.0 241.597 -1610.6 23.4003 -31.2281 -1376.8307 18.0122 18.0122
0 3 -6.472618 0.0 -30.9953 6.27315 -10.979 243.255 -1619.2 241.588 -1610.56 0.0 241.588 -1610.56 23.4421 -30.9953 -1376.5253 18.0943 18.0943
0 4 -6.793758 0.0 -43.2174 6.22954 -10.8833 243.255 -1619.2 241.383 -1596.57 0.0 241.383 -1596.57 22.6629 -43.2174 -1375.7415 12.6206 12.6206
0 5 -6.799357 0.0 -43.3901 6.22831 -10.8823 243.255 -1619.2 241.386 -1596.4 0.0 241.386 -1596.4 22.7054 -43.3901 -1375.6987 12.6256 12.6256
0 6 -6.7699203 0.0 -43.1075 6.24934 -10.9061 243.255 -1619.2 241.362 -1596.31 0.0 241.362 -1596.31 22.5157 -43.1075 -1375.5398 12.6015 12.6015
0 7 -6.624269 0.0 -33.5643 6.45556 -10.8452 243.255 -1619.2 241.943 -1609.2 0.0 241.943 -1609.2 25.2855 -33.5643 -1375.5358 18.5879 18.5879
0 8 -6.5269446 0.0 -34.981 6.32678 -10.6793 243.255 -1619.2 241.747 -1605.15 0.0 241.747 -1605.15 23.0127 -34.981 -1375.3713 14.8028 14.8028
0 9 -6.308397 0.0 -29.6114 6.35592 -10.922 243.255 -1619.2 242.092 -1610.61 0.0 242.092 -1610.61 23.4487 -29.6114 -1374.6807 18.0657 18.0657
0 10 -6.562102 0.0 -38.6778 6.28594 -10.9302 243.255 -1619.2 241.699 -1600.25 0.0 241.699 -1600.25 23.1054 -38.6778 -1374.1234 14.7337 14.7337
0 11 -6.3859596 0.0 -32.7174 6.3506 -10.6955 243.255 -1619.2 241.634 -1606.15 0.0 241.634 -1606.15 23.6451 -32.7174 -1373.5883 17.4845 17.4845
0 12 -6.355216 0.0 -34.6356 6.3656 -10.7948 243.255 -1619.2 241.182 -1602.06 0.0 241.182 -1602.06 24.0966 -34.6356 -1371.4171 16.5766 16.5766
0 13 -5.9815216 0.0 -29.9977 6.31418 -10.7013 243.255 -1619.2 241.228 -1603.18 0.0 241.228 -1603.18 23.0716 -29.9977 -1368.8782 17.4637 17.4637
1 0 -6.8341055 0.0 -36.4282 6.24845 -10.4798 243.255 -1619.2 241.997 -1608.24 0.0 241.997 -1608.24 22.5519 -36.4282 -1380.1194 15.7295 15.7295
1 1 -6.84079 0.0 -36.2163 6.25624 -10.4512 243.255 -1619.2 242.006 -1608.65 0.0 242.006 -1608.65 22.8379 -36.2163 -1380.0225 15.8231 15.8231
1 2 -7.227298 0.0 -48.3027 6.24669 -10.6976 243.255 -1619.2 241.447 -1595.68 0.0 241.447 -1595.68 23.7223 -48.3027 -1378.8135 13.0097 13.0097
1 3 -6.7557893 0.0 -38.3518 6.2821 -10.5983 243.255 -1619.2 241.749 -1603.67 0.0 241.749 -1603.67 22.3661 -38.3518 -1377.9067 13.8389 13.8389
1 4 -6.6907697 0.0 -41.8575 6.30456 -10.5919 243.255 -1619.2 241.343 -1596.52 0.0 241.343 -1596.52 23.2047 -41.8575 -1373.8298 13.6634 13.6634
1 5 -6.7080665 0.0 -41.9809 6.33286 -10.6021 243.255 -1619.2 241.357 -1596.6 0.0 241.357 -1596.6 23.5616 -41.9809 -1373.6624 13.3023 13.3023
1 6 -6.5525327 0.0 -39.4091 6.33429 -10.6878 243.255 -1619.2 241.488 -1598.32 0.0 241.488 -1598.32 22.8174 -39.4091 -1373.4236 16.0026 16.0026
1 7 -6.4549036 0.0 -36.6225 6.32792 -10.9753 243.255 -1619.2 241.359 -1601.13 0.0 241.359 -1601.13 23.2576 -36.6225 -1373.1359 14.2473 14.2473
1 8 -6.699333 0.0 -39.5041 6.37203 -10.7999 243.255 -1619.2 241.258 -1600.27 0.0 241.258 -1600.27 25.4462 -39.5041 -1373.0698 13.9157 13.9157
1 9 -6.411938 0.0 -36.1966 6.24453 -10.96 243.255 -1619.2 241.592 -1601.56 0.0 241.592 -1601.56 23.3527 -36.1966 -1372.8119 16.926 16.926
1 10 -6.558603 0.0 -40.4186 6.32948 -10.7095 243.255 -1619.2 241.58 -1597.03 0.0 241.58 -1597.03 23.3915 -40.4186 -1372.4772 16.1711 16.1711
1 11 -6.042847 0.0 -28.5538 6.24821 -10.8629 243.255 -1619.2 241.773 -1607.52 0.0 241.773 -1607.52 22.5806 -28.5538 -1371.7202 17.4893 17.4893
1 12 -5.922631 0.0 -27.9068 6.42299 -11.0406 243.255 -1619.2 241.428 -1605.93 0.0 241.428 -1605.93 24.2777 -27.9068 -1368.1312 19.2252 19.2252
2 0 -6.6947284 0.0 -33.8453 6.269 -10.6452 243.255 -1619.2 242.276 -1610.52 0.0 242.276 -1610.52 22.3312 -33.8453 -1379.7582 17.3983 17.3983
2 1 -6.689583 0.0 -33.7883 6.27002 -10.649 243.255 -1619.2 242.259 -1610.5 0.0 242.259 -1610.5 22.2875 -33.7883 -1379.7418 17.3779 17.3779
2 2 -6.6295886 0.0 -32.4408 6.31718 -10.6399 243.255 -1619.2 242.181 -1611.4 0.0 242.181 -1611.4 22.4024 -32.4408 -1379.2574 17.308 17.308
2 3 -6.5969815 0.0 -32.0272 6.30356 -10.6017 243.255 -1619.2 242.259 -1611.61 0.0 242.259 -1611.61 22.3103 -32.0272 -1379.0679 17.5551 17.5551
2 4 -6.659745 0.0 -34.3246 6.34771 -11.0085 243.255 -1619.2 241.966 -1608.97 0.0 241.966 -1608.97 23.1814 -34.3246 -1378.1472 16.7955 16.7955
2 5 -6.5139847 0.0 -31.0253 6.38281 -10.9561 243.255 -1619.2 242.392 -1612.24 0.0 242.392 -1612.24 23.6149 -31.0253 -1377.2584 19.2642 19.2642
2 6 -6.553258 0.0 -33.4104 6.35705 -11.0149 243.255 -1619.2 241.911 -1608.55 0.0 241.911 -1608.55 23.3064 -33.4104 -1376.743 17.0542 17.0542
2 7 -6.3292294 0.0 -28.4779 6.33104 -10.9101 243.255 -1619.2 242.636 -1613.57 0.0 242.636 -1613.57 22.8469 -28.4779 -1376.565 20.5222 20.5222
2 8 -6.174262 0.0 -25.6185 6.31261 -10.6384 243.255 -1619.2 242.963 -1615.72 0.0 242.963 -1615.72 21.9494 -25.6185 -1376.426 21.5424 21.5424
2 9 -6.187139 0.0 -26.1701 6.31113 -10.6154 243.255 -1619.2 242.842 -1614.87 0.0 242.842 -1614.87 21.9898 -26.1701 -1376.2083 21.4155 21.4155
3 0 -6.6161504 0.0 -32.2284 6.26151 -10.6101 243.255 -1619.2 242.236 -1611.65 0.0 242.236 -1611.65 22.5465 -32.2284 -1379.096 17.6564 17.6564
3 1 -6.7193627 0.0 -35.4281 6.32595 -10.657 243.255 -1619.2 241.998 -1607.97 0.0 241.998 -1607.97 22.4501 -35.4281 -1378.95 16.7842 16.7842
3 2 -6.579727 0.0 -31.5975 6.32816 -10.928 243.255 -1619.2 242.194 -1612.18 0.0 242.194 -1612.18 22.6576 -31.5975 -1378.926 16.8562 16.8562
3 3 -6.581977 0.0 -31.7416 6.32524 -10.9244 243.255 -1619.2 242.152 -1611.93 0.0 242.152 -1611.93 22.6728 -31.7416 -1378.8469 16.8143 16.8143
3 4 -6.5608935 0.0 -31.7726 6.29293 -10.6343 243.255 -1619.2 242.173 -1611.33 0.0 242.173 -1611.33 22.228 -31.7726 -1378.7015 17.0696 17.0696
3 5 -6.5505257 0.0 -31.5047 6.29661 -10.6483 243.255 -1619.2 242.184 -1611.6 0.0 242.184 -1611.6 22.2691 -31.5047 -1378.6516 17.1101 17.1101
3 6 -6.5627933 0.0 -31.898 6.29136 -10.6333 243.255 -1619.2 242.161 -1611.15 0.0 242.161 -1611.15 22.2398 -31.898 -1378.6472 17.0673 17.0673
3 7 -6.7782063 0.0 -37.2952 6.35219 -10.7233 243.255 -1619.2 241.745 -1605.68 0.0 241.745 -1605.68 22.7573 -37.2952 -1378.4729 15.5534 15.5534
3 8 -6.7782063 0.0 -37.2952 6.35219 -10.7233 243.255 -1619.2 241.745 -1605.68 0.0 241.745 -1605.68 22.7573 -37.2952 -1378.4729 15.5534 15.5534
3 9 -6.530988 0.0 -30.9565 6.29259 -10.901 243.255 -1619.2 241.966 -1612.05 0.0 241.966 -1612.05 22.6114 -30.9565 -1378.4292 17.4797 17.4797
3 10 -6.712497 0.0 -36.4118 6.32462 -10.6728 243.255 -1619.2 241.82 -1606.08 0.0 241.82 -1606.08 22.3153 -36.4118 -1378.3564 15.79 15.79
3 11 -6.448407 0.0 -29.7311 6.29167 -10.6369 243.255 -1619.2 242.411 -1613.02 0.0 242.411 -1613.02 22.132 -29.7311 -1378.2081 17.9391 17.9391
3 12 -6.4437356 0.0 -33.4028 6.30886 -10.9477 243.255 -1619.2 242.183 -1607.2 0.0 242.183 -1607.2 22.6909 -33.4028 -1375.7289 17.2169 17.2169
4 0 -6.6581454 0.0 -33.3144 6.32902 -10.878 243.255 -1619.2 242.507 -1611.24 0.0 242.507 -1611.24 23.3422 -33.3144 -1378.7052 18.593 18.593
4 1 -6.656527 0.0 -33.3053 6.32809 -10.8774 243.255 -1619.2 242.508 -1611.23 0.0 242.508 -1611.23 23.3333 -33.3053 -1378.6941 18.5923 18.5923
5 0 -6.741329 0.0 -37.8042 6.31019 -10.9487 243.255 -1619.2 242.456 -1605.68 0.0 242.456 -1605.68 22.3286 -37.8042 -1378.6997 16.9888 16.9888
5 1 -6.741329 0.0 -37.8042 6.31019 -10.9487 243.255 -1619.2 242.456 -1605.68 0.0 242.456 -1605.68 22.3286 -37.8042 -1378.6997 16.9888 16.9888
5 2 -6.741329 0.0 -37.8042 6.31019 -10.9487 243.255 -1619.2 242.456 -1605.68 0.0 242.456 -1605.68 22.3286 -37.8042 -1378.6997 16.9888 16.9888
5 3 -6.741329 0.0 -37.8042 6.31019 -10.9487 243.255 -1619.2 242.456 -1605.68 0.0 242.456 -1605.68 22.3286 -37.8042 -1378.6997 16.9888 16.9888
5 4 -6.8635106 0.0 -40.3356 6.32487 -10.9576 243.255 -1619.2 242.385 -1603.64 0.0 242.385 -1603.64 23.0593 -40.3356 -1378.5312 15.1032 15.1032
5 5 -6.8635106 0.0 -40.3356 6.32487 -10.9576 243.255 -1619.2 242.385 -1603.64 0.0 242.385 -1603.64 23.0593 -40.3356 -1378.5312 15.1032 15.1032
5 6 -6.8599043 0.0 -40.0659 6.33587 -10.9521 243.255 -1619.2 242.362 -1603.94 0.0 242.362 -1603.94 23.1308 -40.0659 -1378.513 15.1233 15.1233
5 7 -6.8599043 0.0 -40.0659 6.33587 -10.9521 243.255 -1619.2 242.362 -1603.94 0.0 242.362 -1603.94 23.1308 -40.0659 -1378.513 15.1233 15.1233
5 8 -6.769664 0.0 -38.0113 6.32929 -10.7082 243.255 -1619.2 242.273 -1605.27 0.0 242.273 -1605.27 22.852 -38.0113 -1378.1564 15.4182 15.4182
5 9 -6.5789256 0.0 -34.5366 6.3138 -10.7089 243.255 -1619.2 242.403 -1607.75 0.0 242.403 -1607.75 22.1803 -34.5366 -1377.7034 17.9493 17.9493
5 10 -6.5406685 0.0 -34.3393 6.31457 -10.7124 243.255 -1619.2 242.324 -1607.31 0.0 242.324 -1607.31 22.167 -34.3393 -1377.1583 17.917 17.917
5 11 -6.460939 0.0 -33.7444 6.31647 -10.7209 243.255 -1619.2 242.206 -1606.75 0.0 242.206 -1606.75 22.3004 -33.7444 -1375.988 18.0908 18.0908
5 12 -6.2732954 0.0 -30.343 6.20192 -10.4789 243.255 -1619.2 242.014 -1608.58 0.0 242.014 -1608.58 22.9506 -30.343 -1373.9584 19.5293 19.5293
5 13 -6.2074633 0.0 -29.9949 6.23546 -10.5286 243.255 -1619.2 242.098 -1608.17 0.0 242.098 -1608.17 22.2187 -29.9949 -1373.8483 18.6664 18.6664
6 0 -6.7979627 0.0 -39.5905 6.32069 -10.9992 243.255 -1619.2 242.444 -1603.86 0.0 242.444 -1603.86 22.8199 -39.5905 -1378.1866 19.8114 19.8114
6 1 -6.7979627 0.0 -39.5905 6.32069 -10.9992 243.255 -1619.2 242.444 -1603.86 0.0 242.444 -1603.86 22.8199 -39.5905 -1378.1866 19.8114 19.8114
6 2 -6.798218 0.0 -39.601 6.31941 -10.997 243.255 -1619.2 242.439 -1603.84 0.0 242.439 -1603.84 22.8171 -39.601 -1378.1849 19.8097 19.8097
6 3 -6.798218 0.0 -39.601 6.31941 -10.997 243.255 -1619.2 242.439 -1603.84 0.0 242.439 -1603.84 22.8171 -39.601 -1378.1849 19.8097 19.8097
6 4 -6.798218 0.0 -39.601 6.31941 -10.997 243.255 -1619.2 242.439 -1603.84 0.0 242.439 -1603.84 22.8171 -39.601 -1378.1849 19.8097 19.8097
6 5 -6.7953167 0.0 -39.5511 6.32031 -10.9956 243.255 -1619.2 242.441 -1603.87 0.0 242.441 -1603.87 22.8124 -39.5511 -1378.1676 19.8123 19.8123
6 6 -6.7953167 0.0 -39.5511 6.32031 -10.9956 243.255 -1619.2 242.441 -1603.87 0.0 242.441 -1603.87 22.8124 -39.5511 -1378.1676 19.8123 19.8123
6 7 -6.7953167 0.0 -39.5511 6.32031 -10.9956 243.255 -1619.2 242.441 -1603.87 0.0 242.441 -1603.87 22.8124 -39.5511 -1378.1676 19.8123 19.8123
7 0 -6.6025224 0.0 -33.8658 6.30406 -11.3787 243.255 -1619.2 242.243 -1609.61 0.0 242.243 -1609.61 23.0887 -33.8658 -1378.144 16.6131 16.6131
7 1 -6.738272 0.0 -39.0566 6.41243 -10.8934 243.255 -1619.2 242.119 -1602.96 0.0 242.119 -1602.96 23.5967 -39.0566 -1376.3008 15.3999 15.3999
7 2 -6.7443004 0.0 -39.2305 6.41313 -10.8973 243.255 -1619.2 242.098 -1602.76 0.0 242.098 -1602.76 23.6623 -39.2305 -1376.2302 15.3963 15.3963
7 3 -6.6826324 0.0 -40.4761 6.33123 -10.7113 243.255 -1619.2 241.899 -1599.46 0.0 241.899 -1599.46 22.6701 -40.4761 -1375.367 15.0021 15.0021
7 4 -6.5178604 0.0 -36.0201 6.43309 -11.0077 243.255 -1619.2 242.142 -1604.17 0.0 242.142 -1604.17 24.1937 -36.0201 -1373.8545 17.2763 17.2763
7 5 -6.1046863 0.0 -28.1821 6.43403 -10.9988 243.255 -1619.2 242.534 -1610.13 0.0 242.534 -1610.13 23.6388 -28.1821 -1372.1394 20.5061 20.5061
7 6 -5.7427554 0.0 -23.7181 6.31872 -10.7161 243.255 -1619.2 242.384 -1610.78 0.0 242.384 -1610.78 22.4522 -23.7181 -1369.6619 22.4773 22.4773
8 0 -6.263764 0.0 -25.6551 6.27013 -10.6047 243.255 -1619.2 242.835 -1616.96 0.0 242.835 -1616.96 21.9744 -25.6551 -1377.8057 21.3819 21.3819
8 1 -5.9748063 0.0 -20.4614 6.26469 -10.9083 243.255 -1619.2 242.823 -1620.56 0.0 242.823 -1620.56 22.3627 -20.4614 -1375.8358 22.3282 22.3282
8 2 -6.056821 0.0 -23.8169 6.24106 -10.5942 243.255 -1619.2 242.981 -1616.68 0.0 242.981 -1616.68 22.4714 -23.8169 -1375.0446 23.5845 23.5845
8 3 -6.0314417 0.0 -24.009 6.32 -10.9205 243.255 -1619.2 242.921 -1616.08 0.0 242.921 -1616.08 22.3366 -24.009 -1374.8313 23.1637 23.1637
8 4 -5.9064026 0.0 -21.732 6.25498 -10.5334 243.255 -1619.2 243.141 -1617.61 0.0 243.141 -1617.61 22.0401 -21.732 -1374.1609 24.5422 24.5422
8 5 -5.910422 0.0 -21.8045 6.25201 -10.523 243.255 -1619.2 243.136 -1617.55 0.0 243.136 -1617.55 22.0682 -21.8045 -1374.1504 24.5297 24.5297
9 0 -6.5786395 0.0 -35.0356 6.26177 -11.3438 243.255 -1619.2 242.397 -1607.68 0.0 242.397 -1607.68 22.949 -35.0356 -1377.3696 21.3539 21.3539
9 1 -6.5786395 0.0 -35.0356 6.26177 -11.3438 243.255 -1619.2 242.397 -1607.68 0.0 242.397 -1607.68 22.949 -35.0356 -1377.3696 21.3539 21.3539
9 2 -6.577682 0.0 -35.0274 6.26206 -11.3426 243.255 -1619.2 242.4 -1607.68 0.0 242.4 -1607.68 22.9498 -35.0274 -1377.3577 21.3505 21.3505
9 3 -6.577682 0.0 -35.0274 6.26206 -11.3426 243.255 -1619.2 242.4 -1607.68 0.0 242.4 -1607.68 22.9498 -35.0274 -1377.3577 21.3505 21.3505
9 4 -6.577682 0.0 -35.0274 6.26206 -11.3426 243.255 -1619.2 242.4 -1607.68 0.0 242.4 -1607.68 22.9498 -35.0274 -1377.3577 21.3505 21.3505
9 5 -6.5771294 0.0 -35.0221 6.26223 -11.3437 243.255 -1619.2 242.4 -1607.68 0.0 242.4 -1607.68 22.9494 -35.0221 -1377.3528 21.3506 21.3506
9 6 -6.5771294 0.0 -35.0221 6.26223 -11.3437 243.255 -1619.2 242.4 -1607.68 0.0 242.4 -1607.68 22.9494 -35.0221 -1377.3528 21.3506 21.3506
9 7 -6.5771294 0.0 -35.0221 6.26223 -11.3437 243.255 -1619.2 242.4 -1607.68 0.0 242.4 -1607.68 22.9494 -35.0221 -1377.3528 21.3506 21.3506
10 0 -6.2429805 0.0 -25.9723 6.2694 -10.5596 243.255 -1619.2 242.844 -1616.1 0.0 242.844 -1616.1 21.8668 -25.9723 -1377.3615 21.3155 21.3155
10 1 -6.242902 0.0 -25.9695 6.26924 -10.5594 243.255 -1619.2 242.842 -1616.1 0.0 242.842 -1616.1 21.8714 -25.9695 -1377.3561 21.3189 21.3189
10 2 -6.1976624 0.0 -27.4281 6.31644 -10.9429 243.255 -1619.2 243.297 -1614.12 0.0 243.297 -1614.12 22.4112 -27.4281 -1375.8398 23.4587 23.4587
10 3 -6.1975145 0.0 -27.4324 6.31673 -10.9424 243.255 -1619.2 243.297 -1614.11 0.0 243.297 -1614.11 22.4095 -27.4324 -1375.8359 23.4577 23.4577
10 4 -5.9941916 0.0 -21.8559 6.27652 -10.5598 243.255 -1619.2 242.846 -1618.39 0.0 242.846 -1618.39 21.8831 -21.8559 -1375.5168 22.4628 22.4628
10 5 -5.752924 0.0 -20.0043 6.26064 -10.4418 243.255 -1619.2 242.596 -1616.83 0.0 242.596 -1616.83 22.2285 -20.0043 -1372.0098 25.6976 25.6976
10 6 -5.912825 0.0 -24.7335 6.42573 -10.9371 243.255 -1619.2 243.183 -1613.28 0.0 243.183 -1613.28 23.5073 -24.7335 -1371.3232 27.6341 27.6341
10 7 -5.6249676 0.0 -20.387 6.31196 -10.6549 243.255 -1619.2 243.255 -1615.3 0.0 243.255 -1615.3 22.058 -20.387 -1370.374 27.8552 27.8552
11 0 -6.200928 0.0 -24.6316 6.27869 -10.5845 243.255 -1619.2 242.795 -1617.42 0.0 242.795 -1617.42 22.0827 -24.6316 -1377.174 21.8705 21.8705
11 1 -6.2088513 0.0 -24.7606 6.28854 -10.5996 243.255 -1619.2 242.795 -1617.35 0.0 242.795 -1617.35 22.1624 -24.7606 -1377.1531 21.851 21.851
11 2 -6.2058783 0.0 -24.7224 6.28707 -10.5984 243.255 -1619.2 242.794 -1617.36 0.0 242.794 -1617.36 22.1473 -24.7224 -1377.1411 21.8534 21.8534
