Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -6.8410845 0.0 -36.2856 6.2535 -10.4593 243.255 -1619.2 242.006 -1608.56 0.0 242.006 -1608.56 22.7478 -36.2856 -1380.0919 15.7905 15.7905
1 0 -6.8477006 0.0 -36.9879 6.27216 -10.9641 243.255 -1619.2 242.091 -1608.19 0.0 242.091 -1608.19 23.2586 -36.9879 -1379.8281 17.5432 17.5432
1 1 -6.4959884 0.0 -31.7067 6.29769 -10.9017 243.255 -1619.2 242.528 -1611.18 0.0 242.528 -1611.18 22.6604 -31.7067 -1377.6984 19.2163 19.2163
1 2 -5.9920654 0.0 -20.7663 6.36164 -10.5879 243.255 -1619.2 242.538 -1619.46 0.0 242.538 -1619.46 23.077 -20.7663 -1374.6113 22.2886 22.2886
1 3 -6.034114 0.0 -25.83 6.31721 -10.662 243.255 -1619.2 241.967 -1611.58 0.0 241.967 -1611.58 22.4977 -25.83 -1372.9452 21.4091 21.4091
2 0 -6.698818 0.0 -33.8975 6.2667 -10.6455 243.255 -1619.2 242.276 -1610.51 0.0 242.276 -1610.51 22.3624 -33.8975 -1379.7692 17.4066 17.4066
2 1 -6.6979036 0.0 -33.8042 6.26725 -10.6382 243.255 -1619.2 242.327 -1610.71 0.0 242.327 -1610.71 22.4185 -33.8042 -1379.7687 17.5267 17.5267
2 2 -6.678452 0.0 -33.6309 6.27323 -10.6547 243.255 -1619.2 242.277 -1610.59 0.0 242.277 -1610.59 22.2679 -33.6309 -1379.676 17.4034 17.4034
2 3 -6.678452 0.0 -33.6309 6.27323 -10.6547 243.255 -1619.2 242.277 -1610.59 0.0 242.277 -1610.59 22.2679 -33.6309 -1379.676 17.4034 17.4034
2 4 -6.621232 0.0 -32.3704 6.30619 -10.6167 243.255 -1619.2 242.19 -1611.38 0.0 242.19 -1611.38 22.3428 -32.3704 -1379.2175 17.3307 17.3307
2 5 -6.6206036 0.0 -32.3602 6.3066 -10.6141 243.255 -1619.2 242.195 -1611.39 0.0 242.195 -1611.39 22.3737 -32.3602 -1379.1814 17.3649 17.3649
2 6 -6.6185575 0.0 -32.3514 6.30882 -10.6128 243.255 -1619.2 242.185 -1611.35 0.0 242.185 -1611.35 22.4081 -32.3514 -1379.1082 17.4004 17.4004
2 7 -6.6185575 0.0 -32.3514 6.30882 -10.6128 243.255 -1619.2 242.185 -1611.35 0.0 242.185 -1611.35 22.4081 -32.3514 -1379.1082 17.4004 17.4004
2 8 -6.596068 0.0 -32.957 6.29138 -10.6668 243.255 -1619.2 242.135 -1610.05 0.0 242.135 -1610.05 22.1943 -32.957 -1378.6777 17.5526 17.5526
2 9 -6.5080266 0.0 -33.619 6.30021 -10.9438 243.255 -1619.2 241.927 -1607.53 0.0 241.927 -1607.53 22.7665 -33.619 -1376.4556 17.44 17.44
2 10 -6.220722 0.0 -30.0099 6.35803 -10.9852 243.255 -1619.2 241.897 -1608.32 0.0 241.897 -1608.32 22.6249 -30.0099 -1373.808 17.2706 17.2706
2 11 -6.1716228 0.0 -29.4705 6.21739 -10.4803 243.255 -1619.2 242.095 -1608.37 0.0 242.095 -1608.37 22.4809 -29.4705 -1373.2646 19.2513 19.2513
2 12 -6.0648513 0.0 -27.6394 6.26611 -10.5786 243.255 -1619.2 242.057 -1609.42 0.0 242.057 -1609.42 22.0008 -27.6394 -1373.0016 20.1029 20.1029
3 0 -6.340617 0.0 -26.198 6.24025 -10.8969 243.255 -1619.2 243.537 -1618.8 0.0 243.537 -1618.8 22.6215 -26.198 -1378.8396 23.1115 23.1115
3 1 -6.340617 0.0 -26.198 6.24025 -10.8969 243.255 -1619.2 243.537 -1618.8 0.0 243.537 -1618.8 22.6215 -26.198 -1378.8396 23.1115 23.1115
3 2 -6.340617 0.0 -26.198 6.24025 -10.8969 243.255 -1619.2 243.537 -1618.8 0.0 243.537 -1618.8 22.6215 -26.198 -1378.8396 23.1115 23.1115
3 3 -6.336247 0.0 -26.1572 6.24031 -10.8907 243.255 -1619.2 243.54 -1618.79 0.0 243.54 -1618.79 22.5879 -26.1572 -1378.8193 23.0883 23.0883
3 4 -6.336247 0.0 -26.1572 6.24031 -10.8907 243.255 -1619.2 243.54 -1618.79 0.0 243.54 -1618.79 22.5879 -26.1572 -1378.8193 23.0883 23.0883
3 5 -6.3327637 0.0 -26.2006 6.2382 -10.8807 243.255 -1619.2 243.534 -1618.65 0.0 243.534 -1618.65 22.6277 -26.2006 -1378.689 23.0901 23.0901
3 6 -6.3327637 0.0 -26.2006 6.2382 -10.8807 243.255 -1619.2 243.534 -1618.65 0.0 243.534 -1618.65 22.6277 -26.2006 -1378.689 23.0901 23.0901
3 7 -6.3327637 0.0 -26.2006 6.2382 -10.8807 243.255 -1619.2 243.534 -1618.65 0.0 243.534 -1618.65 22.6277 -26.2006 -1378.689 23.0901 23.0901
4 0 -6.5549617 0.0 -30.8696 6.29768 -10.9039 243.255 -1619.2 242.03 -1612.67 0.0 242.03 -1612.67 22.6908 -30.8696 -1378.8188 17.6188 17.6188
4 1 -6.5494647 0.0 -30.523 6.30598 -10.8877 243.255 -1619.2 242.129 -1613.24 0.0 242.129 -1613.24 22.9806 -30.523 -1378.6533 18.1862 18.1862
4 2 -6.49854 0.0 -30.3302 6.2886 -10.6415 243.255 -1619.2 242.39 -1612.89 0.0 242.39 -1612.89 22.2548 -30.3302 -1378.5754 17.7142 17.7142
4 3 -6.495585 0.0 -30.379 6.27695 -10.6264 243.255 -1619.2 242.397 -1612.78 0.0 242.397 -1612.78 22.3278 -30.379 -1378.4342 17.8868 17.8868
4 4 -6.7553616 0.0 -37.5058 6.31259 -10.6488 243.255 -1619.2 241.714 -1604.92 0.0 241.714 -1604.92 22.4851 -37.5058 -1378.2268 15.3492 15.3492
4 5 -6.756978 0.0 -37.529 6.31674 -10.6571 243.255 -1619.2 241.693 -1604.88 0.0 241.693 -1604.88 22.5243 -37.529 -1378.1918 15.3068 15.3068
4 6 -6.7467685 0.0 -37.49 6.31925 -10.6545 243.255 -1619.2 241.682 -1604.75 0.0 241.682 -1604.75 22.5173 -37.49 -1378.0406 15.3032 15.3032
4 7 -6.6855836 0.0 -37.8964 6.37448 -11.4011 243.255 -1619.2 241.764 -1603.91 0.0 241.764 -1603.91 24.4307 -37.8964 -1375.6117 14.588 14.588
4 8 -6.6849914 0.0 -40.7324 6.33348 -10.6354 243.255 -1619.2 241.386 -1598.23 0.0 241.386 -1598.23 23.113 -40.7324 -1374.4634 15.4795 15.4795
4 9 -6.682147 0.0 -37.4779 6.4344 -11.6829 243.255 -1619.2 241.447 -1604.2 0.0 241.447 -1604.2 26.0483 -37.4779 -1374.1825 16.2135 16.2135
4 10 -6.62496 0.0 -39.1379 6.35888 -10.9264 243.255 -1619.2 241.266 -1599.78 0.0 241.266 -1599.78 24.2272 -39.1379 -1373.4247 14.5624 14.5624
4 11 -6.5455227 0.0 -39.2854 6.31834 -10.5835 243.255 -1619.2 241.27 -1597.98 0.0 241.27 -1597.98 23.0296 -39.2854 -1372.9658 15.4126 15.4126
4 12 -6.282994 0.0 -33.8726 6.25062 -11.1323 243.255 -1619.2 241.179 -1602.57 0.0 241.179 -1602.57 25.2318 -33.8726 -1370.0317 17.3663 17.3663
